GEOID,tot_pop,maj_race,maj_hh,med_age,per_own,avg_hh
55079009200,1901,black,family,26.1,0.3328025477707006,2.87
55079009300,2535,white,family,32.2,0.5339712918660288,2.42
55079009400,2423,white,family,35,0.5303571428571429,2.16
55079009500,2121,white,family,35.1,0.5876993166287016,2.4
55079009600,2317,black,family,20.4,0.2829581993569132,3.72
55079009700,1939,black,family,21.1,0.42795698924731185,4.17
55079009800,1433,black,family,23.2,0.3161592505854801,3.36
55079009900,1458,black,family,24.9,0.4386792452830189,3.38
55079010600,1192,black,family,28.2,0.37149532710280375,2.77
55079010700,2208,white,nonfamily,29.3,0.3882017126546147,2.07
55079010800,2469,white,nonfamily,27.9,0.20610687022900764,1.5
55079011000,3428,white,nonfamily,33.3,0.1411042944785276,1.34
55079011100,1481,white,nonfamily,29.3,0.10467479674796748,1.49
55079011200,2219,white,nonfamily,30.5,0.2708029197080292,1.62
55079011300,1829,white,nonfamily,29.1,0.2405189620758483,1.46
55079011400,1137,white,nonfamily,29.3,0.38742690058479534,1.66
55079012200,2557,None,family,23.2,0.3265582655826558,3.46
55079012300,1122,black,nonfamily,30.7,0.19883040935672514,2.16
55079012400,2592,white,nonfamily,31.9,0.3981636060100167,2.16
55079012500,2014,white,family,38.6,0.561822125813449,2.17
55079012600,2169,white,nonfamily,37.6,0.5440366972477064,1.98
55079012700,1189,white,family,35.4,0.691470054446461,2.07
55079012800,2958,white,nonfamily,28.9,0.48433530906011857,2.1
55079012900,2942,white,family,33.2,0.5763622409823485,2.25
55079013000,1800,white,family,33.6,0.5074812967581047,2.24
55079013300,1066,None,nonfamily,30.6,0.4,2.4
55079013400,2335,black,nonfamily,30,0.19921491658488713,2.29
55079013500,1911,black,nonfamily,33.5,0.0456754130223518,1.74
55079013600,2489,black,nonfamily,40.4,0.10406091370558376,1.79
55079013700,1578,black,nonfamily,30.1,0.09498680738786279,2.08
55079014100,1551,black,family,23.9,0.004651162790697674,2.4
55079014300,2297,white,nonfamily,31.6,0.12190812720848057,1.35
